"#","category","filename","folder","reference","needs_back","descriptor","status"
"1","page","pages/title-bg.png","pages","—","no","title-bg","todo"
"2","page","pages/mode-sandbox.png","pages","—","no","mode-sandbox","todo"
"3","page","pages/mode-story.png","pages","—","no","mode-story","todo"
"4","page","pages/builder-bg.png","pages","—","no","builder-bg","todo"
"5","body","base/body_petite_light.png","base","—","yes","petite — small frame, soft slight build, shorter; light warm skin","todo"
"6","body_back","base/body_petite_light_back.png","base","base/body_petite_light.png","no","petite — small frame, soft slight build, shorter; light warm skin (back)","todo"
"7","body","base/body_petite_medium.png","base","—","yes","petite — small frame, soft slight build, shorter; warm medium-brown skin","todo"
"8","body_back","base/body_petite_medium_back.png","base","base/body_petite_medium.png","no","petite — small frame, soft slight build, shorter; warm medium-brown skin (back)","todo"
"9","body","base/body_petite_deep.png","base","—","yes","petite — small frame, soft slight build, shorter; deep rich brown skin","todo"
"10","body_back","base/body_petite_deep_back.png","base","base/body_petite_deep.png","no","petite — small frame, soft slight build, shorter; deep rich brown skin (back)","todo"
"11","body","base/body_slim_light.png","base","—","yes","slim — lean, low body-fat, narrow frame; light warm skin","todo"
"12","body_back","base/body_slim_light_back.png","base","base/body_slim_light.png","no","slim — lean, low body-fat, narrow frame; light warm skin (back)","todo"
"13","body","base/body_slim_medium.png","base","—","yes","slim — lean, low body-fat, narrow frame; warm medium-brown skin","todo"
"14","body_back","base/body_slim_medium_back.png","base","base/body_slim_medium.png","no","slim — lean, low body-fat, narrow frame; warm medium-brown skin (back)","todo"
"15","body","base/body_slim_deep.png","base","—","yes","slim — lean, low body-fat, narrow frame; deep rich brown skin","todo"
"16","body_back","base/body_slim_deep_back.png","base","base/body_slim_deep.png","no","slim — lean, low body-fat, narrow frame; deep rich brown skin (back)","todo"
"17","body","base/body_average_light.png","base","—","yes","average — everyday balanced build; light warm skin","todo"
"18","body_back","base/body_average_light_back.png","base","base/body_average_light.png","no","average — everyday balanced build; light warm skin (back)","todo"
"19","body","base/body_average_medium.png","base","—","yes","average — everyday balanced build; warm medium-brown skin","todo"
"20","body_back","base/body_average_medium_back.png","base","base/body_average_medium.png","no","average — everyday balanced build; warm medium-brown skin (back)","todo"
"21","body","base/body_average_deep.png","base","—","yes","average — everyday balanced build; deep rich brown skin","todo"
"22","body_back","base/body_average_deep_back.png","base","base/body_average_deep.png","no","average — everyday balanced build; deep rich brown skin (back)","todo"
"23","body","base/body_athletic_light.png","base","—","yes","athletic — defined shoulders, visible abs, strong quads and calves; light warm skin","todo"
